"rfc","mes","actividad","curp","nombre","ap_paterno","ap_materno"
"CVS0700207P3",1,"6613","SRMC730200HGTCTA12","FLORENCIO","MARTINEZ","SANCHEZ"
"HSG0726017P1",1,"8411","GOAA702216HHGNSB19","MARTHA","PASCUAL","BALTAZAR"
"PSR002310IQ6",1,"2118","HRSR672720MVUAAF16","EDUARDO","PAULINO","MOJICA"
"FAD0727267R7",1,"8011","VIBA672603MDFLLN10","ELBA","PEREZ",NA
"OWM200126AWA",1,"4801","PRCG762612MDFASB12","YESENIA","PERCASTEGUI","OCAMPO"
"SAF0602070N2",1,"8310","AOBA672061MDFDAS19","MAGDALENA","ALVAREZ","AYALA"
"IMS320260I36",1,"8310","PASR730222MOCNNA13","GABRIELA","SERRANO","MATIAS"
"FSI772910ML6",1,"3010","LOGF002822HMCPAL18","MANUEL","FLORES","CHAVEZ"
"PRM0326176U6",1,"9010","PRDH060027HDFATG10","CARLOS","JUAREZ","ACOSTA"
"PCF072602TA1",1,"6310","AOMA030027HVUDNL16","HUMBERTO","VILLALBA","PEREZ"
"ASR210027LB6",1,"6202","CAAJ672716HDFAYM19","ROBERTO","VAZQUEZ","OZ"
"SAC221322JG3",1,"9410","AADL762622HDFMMS12","ERIKA","SOTELO","ROJAS"
"CFR672003QI1",1,"8011","VASK762710MDFALT19","RAYMUNDO","PALMA","MARQUEZ"
"A3C570002D27",1,"7611","ARFS662307HDFLLA10","CLAUDIA","FIESCO","GONZALEZ"
"WTR271602QC6",1,"3213","NUAI020061MDFCDL13","MIGUEL","CUERVO","CASTILLO"
"MOK002607201",1,"8310","MAUG602027MHGAAA16","DIEGO","ZENDEJAS","MARIN"
"JSR762702DL0",1,"8310","AUCG621726HDFBAD10","ANGEL","SOTO","SUAREZ"
"BBS210126HP2",1,"8310","GAGK720026MBCAMA16","MANUEL","LINARTE","PEREZ"
"RLS062217L69",1,"6310","NOPA070202HMCAXL27","BLANCA","LEDESMA","GONZALEZ"
"MAN7026007G6",1,"6310","SAAV600007MDFLAC26","MANUEL","GARCIA","SANCHEZ"
"GACF600202QRA",1,"2314","SOAA732061MPLAMS18","ANGEL","HERNANDEZ","MOSQUEDA"
"CMA021206M03",1,"2118","DOAR772703HQAMDL16","FELICIANA","PEREZ","HERRERA"
"OAA0700296X9",1,"8611","JAUL762016MHGAGA12","MARIA","VAZQUEZ","ALEJANDRO"
"AOO6026287C6",1,"2812","DIFC721906MDFMLT19","LUCERO","LUNA","RAMIREZ"
"ABC170002A44",1,"9010","MOFJ700062HDFNLN17","ANDREA","ANZO","FLORES"
"BMN762219927",1,"8611","BACM762729HVUNAG16","IGNACIO","NOLASCO","ALOZA"
"AAU0627277W0",1,"3012","SACL062726MNTNSU19","HUMBERTO","RAMOS","YEPEZ"
"UGV022010TI1",1,"3010","MABR721300HGAALL10","GAUDENCIO","FERIA","VICENTE"
"IMS320260I36",1,"8710","CRAJ660006HSABCS26","GENARO","FLORES","LIMA"
"CCH2210227S0",1,"8611","CRCV762317HYNTNC16","VIRGINIA","AYALA","RAMIREZ"
"MSR200207AG6",1,"6219","SACM662326HNTNHA17","FAVIOLA","MORALES","HERNANDEZ"
"BSM772609DUB",1,"6310","UIGS000026MDFATL26","VALERIA","VILLEGAS","DIAZ"
"VMC231716QKA",1,"8011","MOAA762310HDFNMF14","RAUL","JUACHE","GARZON"
"GO&2600146W2",1,"6814","JUGA720227HDFLNN20","ABIGAIL","MORA","RUARO"
"COP0326210U3",1,"2116","AUCA022303HDFUSL16","AGUSTIN","GARCIA","CASTRO"
"PRM7626070G6",1,"4116","HRLM080227HDFAPN27","GERARDO","CUELLAR","PEREZ"
"PCA072616063",1,"3010","CARB762923MDFMST12","JONATHAN","ARCHUNDIA","REYES"
"MIS662727276",1,"8313","PRVN721616MDFXLN19","GUADALUPE","GARCIA","MORENO"
"CALG072601RS1",1,"8816","CAOD792602HMSASN16","ANDREA","LARIOS","VALDEZ"
"PMR000200B22",1,"8313","CAFD770216HMCLAL16","MISAEL","TORRES","MALDONADO"
"TVI032700K6A",1,"8310","OAAR732623HVUAML16","MARCOS","GARDU","GONZALEZ"
"ADG0002038TA",1,"8812","AAAM732602HMCFMC16","GUSTAVO","SALAS","MEZA"
"A3C570002D27",1,"8810","GACR721600MNLLAA10","TERESA","CHAMU","HERNANDEZ"
"HSO060026SD4",1,"6014","AOAJ670207HDFMMN23","BENIGNO","TORRES","FACUSSE"
"PCM032624MTA",1,"6014","DOGL670220MDFMLL22","RICARDO","AVILA","RAMIREZ"
"GCS072622U62",1,"6014","SATS721626HDFLAA07","FERNANDO","NORBERTO","CARRILLO"
"DRM0302023G2",1,"6914","MRAD032600HDFNCN16","MAYTE","AGUILERA","PE"
"POL722621LN6",1,"8310","MAAR700029HDFAVD28","ADRIAN","ORTIZ","JIMENEZ"
"ADR261221JA6",1,"6913","OOAK021610MDFAST11","LUCINA","SALINAS","ROMAN"
"RSM030026CM0",1,"8310","LIAR072210HDFNJM13","EDGARDO","GIL","MENDOZA"
"PSC762200AD1",1,"8411","GAAD720026HDFAMV12","IVAN","ESCOBAR","MENDEZ"
"ISC0702162I1",1,"8011","MRCJ672220MDFAMN16","YARELI","CHAVEZ","RAMOS"
"ARB210200HM7",1,"8710","AOAV702610MMCCDA14","DOLORES","CASTILLO","MONTOYA"
"MAN7229036V0",1,"8710","SAGL760206HMCNTS23","ALBERTO","FLORES","MARTINEZ"
"AIN7626066I7",1,"8310","MACA772627HDFNSL16","MANUEL","ALVA","MONTES"
"ACO0227162W2",1,"2211","SABD762907MMCNAL10","JAVIER","MARTINEZ","LA"
"ULA760222J06",1,"8310","VAVG062426MDFUAD16","BEATRIZ","PADILLA","LAUREANO"
"AMA060226KM0",1,"7612","SRVD672909MNLPGY11","MAURA","TONIX","GONZALEZ"
"GCR032600CL2",1,"7411","AOGJ722361HDFSNA13","FERNANDA","BASTARRACHEA","GARCIA"
"AST022016P02",1,"8918","MOBM060227HNRLAA17","ANTONIO","MAFRA","IMAMURA"
"DMR672306CU0",1,"9314","LOPA600223HDFPTF17","SEBASTIAN","DOMINGUEZ","MENDOZA"
"AAY0327130Q6",1,"8310","SAAS770226MMCNSN20","ROSELYN","ESPINOSA","HERNANDEZ"
"BNM032606VB0",1,"7010","MRMC760206MDFNAA22","ROSARIO","CARRASCO","JUAREZ"
"SMS7620192X1",1,"6212","BAMR072613MHGAAS11","IGNACIO","JASSO","GUTIERREZ"
"FMR7624042T0",1,"8917","GAGK032721MCHANA17","HAYDEE","CARMONA","HERNANDEZ"
"PAD220216CS6",1,"8313","AOMI662210HDFDNG14","ELIAS","MEJIA","CRUZ"
"VPR002626F66",1,"4407","HRLU762323MVUAAH16","MAGDALENA","DIAZ","MENDEZ"
"CCA002023MW3",1,"9010","DIPM032702HMCUAA17","VERONICA","MARTINEZ","ARCE"
"A1C2745A2K99",1,"6910","LOVJ762703HDFAUM17","ALEJANDRO","RODRIGUEZ","CRUZ"
"STM072620S07",1,"8918","LIPS662307MDFAXN19","ELENA","ARIZMENDI","GARCIA"
"IMS320260I36",1,"8011","SACI030207HDFNLV26","DIEGO","DIAZ","RODRIGUEZ"
"ARB210200HM7",1,"2410","AOGR082807MDFMLD18","ANGELICA","AVILA","RAMOS"
"CCO0626260N3",1,"9010","AAMC722016HCSMAA17","IVONNE","ELENO","MORALES"
"TTB231706CY9",1,"8710","VRMC060027MDFGNN27","MIGUEL","ESCAMILLA","SEVILLA"
"MBA032702F68",1,"6913","SASL762701MPLNNC17","GUADALUPE","GALLEGOS","HERNANDEZ"
"SCG060007466",1,"8310","HRBH702923HDFADC16","JANETH","HERNANDEZ","IBARRA"
"BBS002716HD6",1,"9314","SAAM760026HMCNUG20","JULIAN","GALINDO","HERNANDEZ"
"TNO772616NW1",1,"8011","QUMR662616MDFNUG12","CHRISTOPHER","GARCIA","BELLO"
"ASG762660ID0",1,"8310","LXCA002726HMCAAL17","ADRIANA","ALVAREZ","ROSAS"
"MPA772626N00",1,"7616","GOLC082726MNLNJA16","CHRISTOPHER","MENDOZA","MENDOZA"
"IIC762429BG6",1,"8011","MOGC762322MGALAT17","JULIETA","VARGAS","GONZALEZ"
"HPP072610JP8",1,"6814","CXCA720022HMNHLL10","AGLAHE","RAMIREZ","PEDROZA"
"IMS320260I36",1,"8310","GOGY721716MJCNNB10","CANDELARIA","JIMENEZ","ESTRADA"
"PSR021710KI9",1,"8710","HRMA082326MJCAAL10","LUIS","GOMEZ","DIAZ"
"DAS062617U09",1,"9010","PIAA772002MDFNAB13","DAVID","DIAZ","AMADO"
"HAA762040M0A",1,"8310","COBP072006HDFANB11","ALBERTO","CRUZ","RODRIGUEZ"
"NAS7327270U6",1,"6213","MRPI670220MMSJAA16","VICTOR","ARCE","LEON"
"UMO062327NFA",1,"9314","GOGA020216HPLNAL17","EMMANUEL","MADRIGAL","GUTIERREZ"
"FRC0726614Y0",1,"7012","MOSG702761HSPALS14","FRANCISCO","REYES","GONZALEZ"
"LMR732727060",1,"8310","FOFJ762329MMCLLS12","MANUEL","PEREZ","REYES"
"SCC261729RN6",1,"8310","SAAM720002MDFVMA13","MITZI","LINO","CORONADO"
"A3C570002D27",1,"8310","CALT762216MDFLUA10","GABRIEL","MERECIAS","ORTEGA"
"CCS022723C61",1,"9410","FIAJ721306HTCAVA16","VICTOR","JUAREZ","HERNANDEZ"
"CAL6627070U1",1,"8313","UAXJ322727HDFAXA16","LILIANA","HERNANDEZ","SOLORIO"
"PSR072706DH4",1,"8310","CAAA622026HDFAML11","CESAR","ROBLERO","CARRILLO"
"A3C570002D27",1,"8903","AOAJ672716HDFMYA10","ANTONIO","CAMPOS","NORIEGA"
"GAM0226067B9",1,"9010","GOAM721726HJCNGA19","MARTINA","GUERRERO","GONZALEZ"
"A3C570002D27",1,"7010","SAGG672610MSLLCA10","LILIANA","GONZALEZ","MAGDALENO"
"GPA790023603",1,"6212","AOSM762760MMSDNY13","LARISSA","HERNANDEZ","ORTIZ"
"ASO070228IU7",1,"4110","IIAJ762723MVUASA17","JHESEET","DELGADO","LORETO"
"SRA062716A76",1,"4712","AAPP762712HTSMDB19","JACQUELINE","CUELLAR","GARCIA"
"SSR062327T96",1,"6714","AAAN772709MDFMBD11","MARINA","SANDOVAL",NA
"IMS320260I36",1,"6913","PRMK062826MDFALA16","VERONICA","NIETO","RUGERIO"
"ASM062200G76",1,"8916","SIMG032627MDFKAD12","ENRIQUE","GALLARDO","HERNANDEZ"
"PGA760222PB3",1,"9010","OAAM762610HDFXDG11","ANTONIO","RAMIREZ","MERIDA"
"A3C570002D27",1,"6616","AUSC002823HDFULA10","FRANCISCO","JIMENEZ","LEMUS"
"BNM032606VB0",1,"8916","HRHL792021MDFAAS12","MARIANA","AVENDA","ROJAS"
"ABC170002A44",1,"6810","GOCA721300MNLNAN17","EDGAR","HERNANDEZ","VAZQUEZ"
"CCC002717H80",1,"6610","SAMJ632003MTSLAN16","TESSY","PEREZ","MARTINEZ"
"RTR7227166P7",1,"4212","GABM672606MDFAAA17","MONICA","GARCIA","HERNANDEZ"
"BIM200010DJ6",1,"8310","GOPA070022HCCMLN22","ARMANDO","ACEVEDO","BUENO"
"PMA0226176J6",1,"8917","MRBR082306HDFNAD11","RICARDO","GONZALEZ","GARCIA"
"BABA621226BF2",1,"8011","BRAG760020HOCLGL26","ISRAEL","CARRILLO","CAMARENA"
"PPD260106200",1,"8710","RRAJ002802MDFSLC12","IVAN","LUNA","FRANCISCO"
"A1C2745A2K99",1,"8310","CINO002323HMCSVM17","ADRIANA","VARGAS","EBODIO"
"GSA260001MVA",1,"6310","MIJG702929MMCAAB17","MARIA","VAZQUEZ","RAMIREZ"
"BAMO762614RJ7",1,"8011","GABR772716HOCAAL11","ANTONIO","SANCHEZ","ARIAS"
"PSU060206RY0",1,"6111","HRGJ702813MDFANC16","GILBERTO","GUERRERO","MATEO"
"AOHG672020IA6",1,"8011","LONF760223HMCPVA16","WILFREDO","ORIHUELA","MIRELES"
"GFL0626616N7",1,"8917","MIBL700029MGAASS16","JESUS","ACOSTA","RANGEL"
"KAT072316QU6",1,"6111","GAMM002206MDFACA11","DOMINGO","VILLARREAL","SANCHEZ"
"SCL0623066J7",1,"8310","HRVI062606MMCALM11","ALEJANDRO","MORQUECHO","CONDE"
"IOM201308AP7",1,"3212","VRBA762627HMNAAQ16","MICHELLE","REYNOSO","HERNANDEZ"
"RKA0222260U7",1,"9212","URAL702617HDFFLS11","VANESA","CORTES","GONZALEZ"
"MTR332606R63",1,"4212","GUAJ002317HDFTNM16","JAVIER","RAMIREZ","BARRON"
"IMR201700PU6",1,"8310","HRBO700227HMCATC16","IVET","RUBIO","TORRES"
"ASO070228IU7",1,"8011","PACJ762626MBCLAN11","OCTAVIO","OROPEZA","RAMIREZ"
"PFR602626PW1",1,"8710","TOVA201317HMCALNA1","OSCAR","GUIOT","GONZALEZ"
"GUG0027063M4",1,"8310","PRJP762212HMCDAD10","ALBERTO","DIAZ","RIVERA"
"DAH231621IW2",1,"4110","AULL762016HMCGAS18","GABRIEL","GONZALEZ","ALVEZ"
"IQU072608CQ0",1,"4612","TRTR062606HVULTL16","MIGUEL","BALDERRAMA","PANIAGUA"
"RRU762210209",1,"3010","CILB060204MDFAPA12","ISABEL","GARCIA","ALVARADO"
"NAH0222176V6",1,"8411","PRAF772601HDFDAA17","RICARDO","ELIAS","SANCHEZ"
"ABC170002A44",1,"4212","FIJD702302HDFGMN17","ROSENDO","SILVA","CERVANTES"
"SLS062627762",1,"6014","NABI032207HGAVSA16","VALENTIN","GONZALEZ","CHIMAL"
"SDN062016KA3",1,"8313","HRCC770206HDFAAA26","JESSICA","IXTEPAN","MARTINEZ"
"GSA260001MVA",1,"8310","URNS062820MDFAVL17","VERONICA","ORTIZ","ALVARADO"
"BWC2616143M2",1,"3010","SALO032216MDFLAL17","JAVIER","PAYAN","VALDEZ"
"A3C570002D27",1,"2610","DOMB762629HDFMNA10","MONSERRAT","HERNANDEZ","LIMA"
"PPL022027866",1,"6310","GUNM702602HCHAVN13","JOSE","LOPEZ","CRUZ"
"CAS062707LC6",1,"4212","AOOD020161HMCMLM11","ALEJANDRA","RAMIREZ","MARTINEZ"
"PJU072206AN2",1,"7611","MOMC021226HDFANM13","RENE","MARTINEZ","CASILLAS"
"CCO062226NQ6",1,"8310","COCA720003HDFAAL10","NEMESIS","LAGUNES","MEDINA"
"BOF721629LC6",1,"2910","BRIG662710MHGNSD10","DAVID","AMAYA","MILIAN"
"UIH062616AB4",1,"8710","CUUR060226HDFAND17","ANGELICA","MARTINEZ","CEJA"
"CFR672003QI1",1,"2118","MAHA772323MNLAAL17","CRISTIAN","CAMPOS","BAUTISTA"
"SRJ002060T7A",1,"7612","CUPJ662621HMCALN16","PATRICIA","AVILA","PONCE"
"BAM000220UR0",1,"9314","MAAS762000MMCLSN13","LAURA","MELENDEZ","HERNANDEZ"
"SLN030026KM2",1,"8612","OISA721027MMCNNN16","MARISOL","TOLENTINO","JAIMES"
"GSR722206JJ6",1,"2110","BRAL022302MDFCCL10","HECTOR","REYES","HERRERA"
"PMR0623614V7",1,"9314","SACG772916HSPNAA19","RODOLFO","CA","AREVALO"
"SGH0626230I7",1,"2312","AUQA062720MTLGJA16","MANUEL","VAZQUEZ","VITE"
"LOR062623LR6",1,"6712","HRMC730222HVUAAA21","GUSTAVO","CAMARENA","GARCIA"
"NMR200207AG7",2,"8310","VAGD760206HDFLAN26","ANDRES","CRUZ","RODRIGUEZ"
"BBS210126HP2",2,"9210","ORPM732712MHGALA13","JORGE","MORALES","ARMENTA"
"RIN021206TX6",2,"8310","CUGA672361HDFAMC16","PATRICIA","LEON","OZ"
"CON060206AMA",2,"7611","CICA672707MOCAAL17","ALEJANDRA","LAGUNA","HERNANDEZ"
"SRC221761LC2",2,"7612","QUGP002208HDFNNB16","ASUNCION","QUINTANAR","MACIAS"
"NCR702612V67",2,"6310","DOPH772309MMCMAD17","CRISTINA","ROSALES","RUIZ"
"RLA732202IU6",2,"8313","CAHL062006MMCSAD16","ISIDRO","ARMENTA","FRANCO"
"PVR762004JS0",2,"8611","UAAG600202MDFBBD20","RENE","AVENDA","LUCIO"
"CGU662320QMA",2,"8310","AAAA721361HDFULU16","JENNIFER","ALVAREZ","MARTINEZ"
"IMA700027DH8",2,"8917","AAMC722700HDFMAA16","VIRIDIANA","GONZALEZ","TAPIA"
"DSM770000C70",2,"6200","AASR060222HDFMNA27","CARLOS","GARCIA","JUAREZ"
"DRI002620QDA",2,"8710","GARD702206HMCLSG13","JEANETTE","PEREZ","HERNANDEZ"
"PAA261617RQ6",2,"2116","GOGG772610MDFNLB10","MANUEL","VERA","FRANCO"
"DSM770002C87",2,"6219","HRGF760007HMCAAA23","GUADALUPE","NOLASCO","GODOS"
"VBU070221621",2,"8310","VIAA062601HDFLUL18","MIGUEL","SOLARES","ACOSTA"
"BSC032013761",2,"8313","LOHL760210MHGPAT11","JESUS","GONZALEZ","CRUZ"
"LAR732919SH2",2,"8310","UACR702622HTCPNA16","MARIA","DIAZ","GONZALEZ"
"IIC762429BG6",2,"3010","RUQR770000MQTSNS20","RODOLFO","RIVAS","AFLOR"
"HRA0620020X3",2,"8917","OROM772006HVULLA16","CARLOS","CAPULA","PONCIANO"
"MRV702009US1",2,"8917","FIFM720226HOCGNC11","ANTONIETA","FREGOSO","VILLANUEVA"
"CRJ070007AF3",2,"3010","AAMI732200HDGMDS11","CRISTIAN","ARENAS","CHAVEZ"
"AAA060062C2A",2,"6212","HRPS760022HVUABN16","ESPERANZA","LIMAS","RIVERA"
"CTA2316073D7",2,"6610","LIVI721020MDFBUN13","LORENA","CASTA","COLUNGA"
"TAC230110J6A",2,"6216","AAHR702001HDFMAD19","ALEJANDRO","FERNANDEZ","VILLAFA"
"NIC721600N09",2,"8310","GOML762923MCSMAU17","GUDELIA","LUNA","SANCHEZ"
"MIN702626CFA",2,"8810","GAMA772621HDFAAL13","IVETH","AGUILAR","AMARO"
"AGA702760SN6",2,"3210","AIUC760200MMCVAS29","JACOB","FILOMENO","GONZALEZ"
"QSM261201T06",2,"6011","AUIJ062728HMCGLN14","ANALINE","HERNANDEZ","RODRIGUEZ"
"TSR060206GW0",2,"2118","GRCJ722623HMNAHN16","ERNESTO","GARCIA","RIOS"
"CON702306FH2",2,"9212","VALJ762023HDGLAN16","GAMALIEL","QUIROZ","BADILLO"
"SHU200202PM7",2,"3212","AOOJ730202MDFCAN22","MIGUEL","MARTINEZ","GARCIA"
"LAB0216030K0",2,"7611","VAGA732713HMCLLF17","KIMBERLY","ROCHA","HERNANDEZ"
"LCM072761L46",2,"3010","DOVP022827MDFMLL16","GUADALUPE","RODRIGUEZ","CASTRO"
"HRL062320S03",2,"6606","COLO621761HSPLAD16","JAVIER","LUNA","GERVASIO"
"A3C570002D27",2,"4110","CRMP070261MBSBDA10","ALEJANDRO","VAZQUEZ","CAMARGO"
"PQC2301066Y1",2,"8310","MRAA062006MDFDDL16","ATZIRI","MORALES","ZAPATA"
"SRT2713079D9",2,"8310","TOSN702626MNRALN17","DANIELA","ESCUDERO","FERNANDEZ"
"FCO271616P76",2,"8310","DRLL762713HMCLNS11","DENISSE","SANCHEZ","VERGARA"
"MRAL620203A07",2,"9414","TOSJ722722HGAAAN10","AURORA","BERNAL","ALVARADO"
"CTL032761660",2,"6310","FRPP760207MDFANL20","VIANEY","BAUTISTA","QUINTANA"
"ISP770200AP0",2,"7411","AUGS722906HDFGAL12","EDUARDO","LOPEZ","CANUTO"
"AXO270002FN9",2,"8310","AUCD762710HDFGAN16","DANIEL","MONTES","CHAVEZ"
"ACA201726QD8",2,"6014","DUAK721610MJCADA16","AMELIA","BARRERA","LANDAVERDE"
"CMA770216U63",2,"4116","GOCA030260MOCMAC27","IZAIN","ROSAS","BRAVO"
"MOFH602606D70",2,"4617","ARTH070026HNRACC17","DAVID","ORDAZ","BELTRAN"
"IMS320260I36",2,"8310","AOOI722001HDFDAS18","FRANCISCO","VARGAS","CRUZ"
"PSA002226UA2",2,"8916","MXCO000201HPLAHS16","HUMBERTO","SORIANO",NA
"AMC7219066Q0",2,"8011","LOBA032710HDFPUD10","ANTONIO","ESQUIVEL","RODEA"
"SPT200216QK8",2,"6414","AASJ660202HDFLNM03","JACKELIN","MORA","CRUZ"
"PAO702006B88",2,"2112","AAJL672000MDFUML10","VIRGINIA","TREJO","RIVERA"
"CFR672003QI1",2,"6616","TOGL762610MCHANU10","CITLALLI","ORNELAS","FLORES"
"PSU060206RY0",2,"8011","LAAA721329HYNAAL17","ANGELITA","MARTINEZ","BARRERA"
"PFY032626LW2",2,"6616","MAOB670020MVUASA16","MICHELLE","LOPEZ","VALDEZ"
"SPT221002ND8",2,"8310","VASC672226MDFAGA16","IRVIN","ARTOLA","MARTINEZ"
"RAR261613UG0",2,"2910","RIVP672206MDFSLL13","MARICELA","GALINDO","DIAZ"
"OSC2617124FA",2,"8310","HUAC762221HDFALA19","GERARDO","TABAL","NEGRETE"
"IMS320260I36",2,"8316","COTI622606MDFAAM12","CESAR","MEDINA","JAIMES"
"SAMC021861634",2,"8917","NAGM702616MDFVAY19","RODRIGO","CHAVIRA","HERNANDEZ"
"NVM032626DU1",2,"8310","SAGM760224MDFNLA16","FERNANDO","LOPEZ","FAJARDO"
"CRC271329DI6",2,"6014","CUGG070220HDFANL26","GABRIEL","GRANADOS","ROMERO"
"FMA7322007D9",2,"8310","AOCA760222HDFDJL20","PATRICIO","ORTIZ","GARCIA"
"SAY070213VR6",2,"3012","AOTV721316HMCMJC11","IGNACIO","CAMPOS","TULTECA"
"PGA760222PB3",2,"7311","GAGA062327HMCAND10","JANET","EZ","CASTELLANOS"
"NASN320127KS2",2,"6717","MRSC762613MMCNLL16","DANIEL","GARCIA","YARZA"
"AIN7700029J6",2,"4116","CARI072626HDFLSV16","OCTAVIO","MARTINEZ","JAIMES"
"IRC0026200L1",2,"9911","PIMA702202HMCNAL12","ROSENDO","LOZADA","TREJO"
"SAMA272620AL1",2,"8611","AONG021622MDFLXB10","EDUARDO","HIDALGO","CAMARENA"
"PCA021626B06",2,"8011","GAFB662703HMCALN16","SANTOS","DELGADO","JASSO"
"IAA021701326",2,"2312","BUAM772006HDFSAA12","JESUS","SANCHEZ","REYES"
"AGA702760SN6",2,"3010","SAMG020212HDFNAN17","ROBERTO","HERNANDEZ","RAMIREZ"
"TFO000202B86",2,"3012","GANN201016MMCLVNA6","MAGGNOLIA","OLGUIN","GOYENECHE"
"PAI362617AN7",2,"313","PAAA720206HBSDCA21","DIANA","ZARATE","MONTOYA"
"IMS320260I36",2,"8011","MOOJ732722HDFAAS16","MIGUEL","VILCHIS","DIAZ"
"HAAY722626607",2,"9212","PINR762412MDFNAV11","ALEJANDRO","FUENTES","ANGELES"
"APL062610B82",2,"8411","GIGM660026HDFLAA16","GUADALUPE","AVILA","EZ"
"OCO002306QJ1",2,"6913","TRAN622701HPLAYC11","EUSEBIO","GUTIERREZ","CEJA"
"ACD072623A76",2,"6616","MAGA702606HMSAAA18","SHARAZAN","MARTINEZ","ARELLANES"
"UVM072201LT0",2,"3210","SASJ662016HVUNNN11","JOEL","PAYAN","GUTIERREZ"
"PNA062320SA2",2,"3010","AAJA072816HMCDMD18","JESUS","HERNANDEZ","RUIZ"
"A3C570002D27",2,"8310","AOBR021627HDFASA10","PAOLA","VALENTINEZ","SOTO"
"CMR700228VR3",2,"8310","HRCO021027HDFAHS16","SILVESTRE","RUIZ","PEREDA"
"A3C570002D27",2,"3010","ARLT720103MDFYPA10","IVAN","TORRES","LOPEZ"
"LAN062601T20",2,"4919","IRBD032627HNRGYG18","GABRIELA","GARCIA","MENDIOLA"
"CRM0626213T7",2,"8011","CAGA762607MMCHNC06","ROSA","CARRANZA","FRANCISCO"
"ASR062026PU7",2,"8313","VAFA022702MDFALC12","IRMA","ROMERO","GOROSTIETA"
"SOM762620GU9",2,"8611","TOBG730020HDFACN22","ELENO","STOOPEN","MARTINEZ"
"SHR072661V47",2,"8313","LOHO602627HDFPAS17","EUGENIA","GUTIERREZ","LOPEZ"
"NCR702612V67",2,"9314","BAUJ062607MDFDAL11","ARACELI","GARCIA","PADILLA"
