"mes","nombre","ap_paterno","ap_materno","sexo","curp","rango","rfc","actividad","division","grupo","mod","sal"
1,"SERGIO","CHAVARRIA","CASTA",2,"CASR062306MMCYAV16","E4","CCO0626260N3",9010,7,87,10,1727.329865
1,"JOSEFINA","VILLEGAS","DANIEL",2,"ARCM722006MGAANA10","E7","CMA261201676",8916,8,83,10,1841.717304
1,"MANUEL","FLORES","VAZQUEZ",2,"FIAM760026MGAGVA23","E5","CMN002618SA6",8710,8,83,10,1363.657756
1,"LUIS","GUERRA","ZURITA",1,"CRFL762018MDFDLT18","E3","CBS722913HI0",8310,8,63,10,518.8512807
1,"EDUARDO","PERALTA","LA",1,"AUCS082313MDFBBM13","E8","ARP0200220U6",2118,4,63,10,800.9431181
1,"CESAR","OLIVO","HERRERA",1,"JUMS722026MMCANH19","E9","ARS070226111",8313,8,32,10,102.5312909
1,"BRENDA","MONCAYO","ARCOS",2,"LOAL760022HMCPFS16","E6","IMS320260I36",8710,9,76,10,1907.580784
1,"LETICIA","TOVAR","MENDOZA",2,"MOAL772022HDFADS19","E7","LTM070027D27",7616,8,83,10,1351.599664
1,"OSWALDO","HERNANDEZ","BARCENAS",1,"ROHH062608HDFSAC17","E7","PAM072020RA9",8310,9,90,10,1598.228502
1,"MARTIN","ALVAREZ","CABRERA",2,"AABR662006MVUMLL17","E7","TAM760209AS6",7610,7,83,10,625.826112
1,"MARIA","RUBIO","FERNANDEZ",2,"LAAA672916MDFBUN12","E11","CHM702713HU0",9414,8,23,10,698.9939833
1,"DANIEL","CRUZ","GODOY",2,"MAMA760226MDFANN21","E11","ADI062710487",8011,4,64,10,1952.576299
1,"PATRICIA","ALVAREZ","CAMPUZANO",1,"GAUM702610HSPLAA12","E8","RRC200222FH8",9212,6,83,10,1324.670411
1,"ENRIQUE","MORENO","ALARCON",2,"RUGA672019HDFSNL18","E4","MAN7026007G6",8310,9,83,10,1477.522122
1,"EVA","ROSAS","HERNANDEZ",2,"VAAS072208MDFLMT13","E5","GVA770206Q09",4614,6,30,10,353.8821112
1,"MICHAEL","RAMIREZ","ZAVALA",1,"HRAH602061HDFAPC16","E11","SSM072023M26",8316,8,87,10,1929.858711
1,"VICENTE","SANCHEZ","AMADOR",2,"HRCA632000MDFAHN10","E3","CNR020103A37",4116,4,87,10,1352.435158
1,"CATALINA","LEGIDE","PEDRERO",2,"MUVC762700MDFXLA16","E5","GSA260001MVA",8910,8,63,10,210.7063586
1,"GUADALUPE","VARGAS","RODRIGUEZ",2,"AOOM062441MOCMAY17","E4","AGN792721T26",8011,8,41,10,1738.54785
1,"ANABEL","SOLIS","GOMEZ",2,"GACC662616MSPMAA10","E6","SRA762600L70",8913,8,93,10,767.8054376
1,"EROS","MATIAS","BEJAR",2,"OIVM721729HBSAAG17","E3","AMR082702I89",8917,3,83,10,1816.756348
1,"CARLOS","NAVA","GUTIERREZ",1,"GODI720216MVUMLA13","E9","RRM261214SD3",8813,9,83,10,284.1927784
1,"HUMBERTO","BLANCO","RIVERA",1,"HRMF030226HSPAAA00","E7","TMR032606KT6",6716,9,76,10,988.9878765
1,"ALFONSO","DIAZ","HERNANDEZ",1,"VRMC060027MDFGNN27","E4","MTH0620020P7",4601,8,20,10,308.1667877
1,"VIVIANA","ROSSETTE","CERVANTES",2,"LXCA082228MDFPAN13","E5","DAB0727290W6",9212,7,48,10,851.004042
1,"ANTONIO","REYES","CARDENAS",2,"COPD032206HDFAAN11","E6","PJU072206AN2",9314,8,63,10,1344.955726
1,"RAFAEL","TERRAZAS","GOMEZ",1,"COAP021617MVUYLL11","E9","PSM261317BR6",9010,6,49,10,849.5270443
1,"LUZ","GONZALEZ","NAVARRETE",1,"DUMA721009HDFAAD13","E6","IMS320260I36",8313,8,83,10,1471.229876
1,"SARA","TORRES","ROMERO",2,"HRLL730203HDFAAS16","E9","FCY0226014K6",8310,8,90,10,636.5346235
1,"MARIANA","OLIVER","TELLEZ",1,"VRNS732707HVUATN16","E4","PPT072019CU7",6913,8,60,10,715.1321837
1,"DELIA","EDO","MARTINEZ",1,"POPR660206HGALNL17","E5","STM231703LU6",2118,8,89,10,1921.69053
1,"JULIETA","TELLEZ","ELIZONDO",1,"MANV762620MMCNGN13","E9","RIR021620AG8",8813,8,62,10,1131.078944
1,"MANUEL","MANCILLA","SALAZAR",1,"SALR072913HTCNPD12","E4","CSP270207JCA",9310,6,61,10,2091.807327
1,"ALEJANDRO","BAEZ","VALENCIA",2,"BROA772060HCSLCB16","E8","PNM0623207NA",8313,4,32,10,770.4823668
1,"RICARDO","SESIN","TECHALOTZI",1,"DOPH772309MMCMAD17","E5","BBS210126HP2",7012,9,49,10,1998.663915
1,"MARIA","HERNANDEZ","RAMON",1,"TIAJ772006HDFALA19","E9","FCA7602027A6",6218,9,83,10,600.2543897
1,"GABINA","CALLEJA","LOPEZ",1,"RACC072216HDFSAS14","E8","IMS320260I36",8916,8,32,10,1800.554421
1,"PEDRO","CAMPOS","ROMERO",2,"MRCM002610HDFNAG16","E3","STR662626DW6",6216,6,83,10,622.1136535
1,"MARIA","ALCALA","CORONA",1,"CAPN062318MDFNAA17","E9","SRA072306AW7",8310,8,30,10,489.6973451
1,"GABRIEL","RAMOS","SOTO",1,"MAAB772306MDFAMT17","E4","DSP020226NQ2",8310,3,76,10,993.2617495
1,"DANIEL","RIESTRA","ATENCO",1,"OICS082600HDFLAA18","E8","PPS2700020U6",3010,3,73,10,1877.08619
1,"DAVID","ANGELES","CASTA",2,"AIAL060221MDFLMA18","E4","BCU062623K66",9212,8,87,10,599.1994567
1,"FERMIN","SANDOVAL","ORDO",1,"VIRA720023HDFUSB10","E5","CPH221607TT3",4910,9,88,10,2115.817156
1,"RICARDO","GOMEZ","NAJERA",1,"DOCI062320MVUMAB13","E8","LTA062702B72",8814,9,92,10,2008.220099
1,"ISRAEL","PATI","VICTORIA",1,"JILG760219HGAMLB16","E6","BIN732226KR1",4212,8,93,10,144.7446257
1,"GERARDO","RAMIREZ","HERNANDEZ",2,"CASM762216MMCMNA16","E7","ARPI670223CL0",8710,4,63,10,523.556766
1,"TERESITA","SEGUNDO","ALAVEZ",1,"VINN700027MPLDVY26","E8","GSP021701IU6",3213,6,67,10,2109.918642
1,"ERICA","ISLAS","TRUJILLO",1,"ORAA732028MDFAMN12","E6","VMO270216CMA",9212,6,30,10,993.7658756
1,"MARIBEL","LOPEZ","ESPINOZA",1,"SOOA062816MDFCSN16","E6","PDA030223LF6",8710,6,63,30,1003.781848
1,"BETSABE","GONZALEZ","SALGADO",1,"AOAF772701HPLMYS16","E6","IMS320260I36",8710,8,90,10,994.5152258
1,"ARTURO","JIMENEZ","NAMBO",1,"HRTC662016MDFAAA16","E5","PSC062623670",8011,8,83,10,1882.746306
1,"FRANCISCO","TENORIO","ROMERO",1,"GUSM662326MDFULT16","E9","BIO0626016I6",8313,4,62,10,1439.882608
1,"RICARDO","PANTOJA","GONZALEZ",2,"AABV721616HPLMTC17","E4","IHA002620HI1",8011,8,70,10,199.8672013
1,"NALLELY","RODRIGUEZ","GONZALEZ",1,"SACM721601HOCNSA16","E5","SIP200216SK0",3010,8,83,10,1195.779677
1,"ELENA","CARLON","PEREZ",2,"MOAR732760HDFLDD13","E7","JCO062016737",8310,9,67,10,1314.304219
1,"YOUNUEL","NAVA","ALTAMIRANO",1,"AUGD720006MVUCNA13","E8","TMA770216AQ6",8310,3,82,10,755.0395164
1,"GUADALUPE","BARRERA","ACEVEDO",1,"ARAM762027MDFALY16","E4","CVS0700207P3",6310,3,83,10,810.6372336
1,"MARIA","CARLOS","LIBREROS",1,"CAOC602616MMSHLY17","E9","IMS320260I36",9010,6,66,10,1246.370763
1,"SHERLIN","GUTIERREZ","GARCIA",1,"OIAA732606HDFAGL13","E8","MALA032027QG6",6416,8,80,10,324.2972388
1,"LIDIA","LOPEZ",NA,2,"ORBS672003MDFLLN10","E5","AGA702728SP7",6012,8,41,10,463.0088036
1,"MARIA","BLANCAS","HERNANDEZ",1,"MAGJ672627MPLLNT14","E8","SAW7028106A6",6014,3,67,10,1697.86563
1,"ARACELI","HERNANDEZ","HERNANDEZ",2,"SAMV672026MCSLAA10","E4","LOVF032820DU1",3012,6,90,10,110.1662328
1,"MONYSHEL","CONTRERAS","NAVARRETE",1,"SRHO730222HDFGAS17","E7","CSA072613AJ6",4911,4,87,10,1506.248926
1,"GERONIMO","CHAFLOQUE","BARRIOS",1,NA,"E9","BNM032606VB0",8710,7,90,10,212.8556872
1,"OMAR","MARTINEZ","RODRIGUEZ",1,"HRSR210123MDFALAA7","E7","AAA2616276G6",8916,8,69,10,1207.244671
1,"MERCEDES","GONZALEZ","VELAZQUEZ",2,"CALG792641HDFBNB16","E4","NSR060203QT6",7411,6,48,10,384.9846664
1,"HECTOR","VALLE","OLASCOAGA",1,"MRMJ020022HDFDAM18","E4","VRCF0622077I6",2910,4,83,10,493.5865267
1,"MISAEL","DUARTE","CARDENAS",1,"BAAP082607HDFAVB12","E6","CSR0027007H2",3214,7,32,10,1648.657278
1,"INES","LA","ROJAS",2,"RADA730027HDFSVL16","E6","IMI2016066U0",6614,8,83,10,1811.257491
1,"ADRIANA","DIAZ","ALCANTAR",1,"AOMJ722221HDFMAA17","E4","MCA0327097N0",6216,6,70,10,984.0092745
1,"MARTIN","MORALES","BARFFUSON",1,"MASJ720226HDFAAV16","E8","ORS062323SK0",4404,6,30,10,222.8241475
1,"KAREN","GOMEZ","SANTIAGO",2,"MAAM070007MDFAMN26","E4","IBA211316K67",9010,4,88,10,1031.875237
1,"GERARDO","JASSO","SANCHEZ",2,"GOHL760226MMNNAS16","E7","BMR722006GM6",7616,8,76,10,357.5239066
1,"IGNACIO","LOPEZ","ZARATE",2,"MAMD211622MJCAANA0","E9","IMS320260I36",8310,9,83,10,1895.875264
1,"MONICA","ROA","MARTINEZ",2,"LOBM702713MDFYAA11","E4","IMS320260I36",6713,8,80,10,1763.142471
1,"MONSERRAT","GONZALEZ","SANCHEZ",2,"LOCV622727HCLPBC10","E6","KKS021700I39",6914,7,60,10,1942.338779
1,"JORGE","MENDOZA",NA,1,"GAFG032601HMCAAB16","E3","IBM370020PK7",8710,6,87,10,200.9670165
1,"ARCADIO","COVARRUBIAS","SANTAMARIA",2,"CAAC730222HMCSYS21","E6","TDR002826AV3",6714,9,62,10,2112.946453
1,"FABIOLA","RODRIGUEZ","ORTEGA",1,"SRLO672016HDFAUM16","E4","UMR762613PU7",3010,6,41,10,1995.605039
1,"ABIGAIL","SOTO","BUSH",2,"MRAN722326MMCNBL19","E7","CIF062317GU0",8917,8,83,10,928.6071033
1,"GISSELLE","MORALES","ALVARADO",1,"BARL721028MDFASA11","E5","PSR002017B86",6913,8,41,10,1045.298387
1,"FERNANDO","ASUNCION","DIAZ",1,"MRGA022216HGTDMD16","E3","SBA0726176I6",6700,6,70,10,1583.802488
1,"ERICK","SANCHEZ","MORA",2,"BALN721223HDFAXU16","E3","IMS320260I36",7411,6,86,10,2139.856761
1,"PAOLA","VERTIZ","MARTINEZ",2,"DOTP662000HGAMAD16","E8","CRL0626008H7",7311,4,80,10,1882.5641
1,"ISABEL","AQUINO","CHAVEZ",2,"VRSF762410HDFANL16","E10","OUA062013CL2",2118,8,86,10,399.5638517
1,"LUIS","LUJAN","FARIAS",1,"MOAC032007MDFALC16","E4","TRC261021HIA",210,9,90,10,1327.807988
1,"CESAR","FIGUEROA","GARCIA",1,"MOMG602626HDFANL17","E7","CYC072220T00",9314,4,62,10,314.9485614
1,"ARMANDO","CHAVEZ","LOPEZ",1,"HRHJ211603MDFAASA0","E5","STR070026T30",2118,8,60,10,757.0727358
1,"MARIA","FRAGOSO","ARREOLA",2,"GUBJ062706HMCANN12","E3","IMS320260I36",8313,8,83,10,1920.402451
1,"AARON","GOMEZ","CAMPOS",1,"MRMA730226HMCNNL10","E5","ASR062607NA0",6814,6,83,10,1790.571871
1,"ANTONIO","LOPEZ","MURILLO",1,"TAFO200006HGAAAMA1","E6","CPH221607TT3",8916,8,62,10,369.2566459
1,"MAGALY","BARRIGA","RUBIO",2,"TRVC662006HSPLLA12","E5","CBA720110BG0",4919,6,76,10,799.0703277
1,"CINIEL","JIMENEZ","RODRIGUEZ",2,"SAAD211306MGTLLNA0","E3","FRAL662216F0A",8310,8,87,10,1243.680557
1,"JEANETTE","JUAREZ","SANCHEZ",2,"NRAJ720126HDFGYN11","E5","RAD220216J73",2410,8,21,10,1140.963808
1,"ARACELI","LOPEZ",NA,2,"BUSA632719HDFNNG16","E6","VSC2617130X6",8710,4,30,10,212.4465533
1,"HERIBERTO","AVILES","MARTINEZ",1,"VAGS721000HDFNAA19","E4","NHB772060BW4",6213,3,30,10,271.3523389
1,"ROSENDO","TIZATL","MENDEZ",1,"GOGI072703HCHNNS17","E4","DMR030062T36",9010,8,62,10,1520.689976
1,"ANDREA","ROMERO","HERNANDEZ",2,"CAGH062201HDFSUC17","E9","OMA700206R06",8712,6,89,10,1113.969354
1,"ANTONIA","ARIZMENDI","SANCHEZ",1,"AOSL762727MUSDNA12","E10","FMR770222Q33",8916,8,83,10,895.7171957
1,"ANA","LOPEZ","FRANCO",2,"DUHA730206MDFAAL11","E6","AMM082709N0A",2118,6,83,10,1685.494787
1,"MARINA","BERMEJO","HERNANDEZ",1,"CAPJ060203HDFMAL23","E8","HBI072617SY6",210,6,32,10,281.3772463
1,"BRENDA","TREVI","LORENZO",2,"AAMS032612MMCMJN10","E5","SOL062303A06",8310,4,70,10,994.5427725
1,"LUIS","FLORES","PEREZ",2,"SOPL662724HOCALB16","E3","SCI201716MAA",6310,8,69,10,1674.738995
1,"ALONSO","DURAN","GARCIA",2,"JIPC760223HHGMAA13","E4","IIC762429BG6",8310,8,66,10,950.5495272
1,"ALFREDO","GARCIA","PEREZ",2,"CUAJ672607HOCANS14","E6","DTC020107JA3",6700,8,93,10,1908.071595
1,"FRANCISCO","RODRIGUEZ","LUNA",1,"GOSR002626MDFNNL11","E2","SAM062222MX0",9314,8,83,10,312.1116305
1,"NAYELI","CAMACHO","TELLEZ",1,"GAGA721606HMNANN10","E4","DSR792216IJA",8310,8,29,10,605.6984841
1,"VIRGINIA","GOMEZ","TATENCO",1,"CAXK060227MNRLXT26","E6","TCO260014NG2",6700,3,83,10,959.2786428
1,"ROMAN","GUTIERREZ","SANCHEZ",2,"PAAM762326HTLSMA16","E11","ASU220106JM6",9010,8,60,10,135.841002
1,"GUILLERMO","PETRONILO","BORTONI",1,"AAOJ702906HVUMAA16","E5","SIC201623PGA",6910,4,93,10,1051.936673
1,"CONSUELO","FLORES","VARGAS",2,"CAGA722303HDFANF12","E5","FOAM702707BM7",2417,8,80,10,1107.940427
1,"GABRIEL","CONTRERAS","ESCOBAR",1,"ORAC670220MMCALL17","E6","NAX060200QU8",8310,3,83,10,1336.49988
1,"JESSICA","CANTU","TORRES",2,"PRMM732016HDFANA17","E4","CSO022661BXA",4116,8,0,10,481.7038134
1,"SANJUANA","FLORES","ARENAS",1,"DOMG702206HDFMAV19","E8","CAD261700Q61",9314,3,48,10,325.0093826
1,"ROSALINDA","JIMENEZ","GUTIERREZ",2,"LOSJ021826HDFYSV17","E7","SAR060224D22",8310,6,32,10,1031.689365
1,"PATRICIA","GOMEZ","SANCHEZ",1,"COMJ210206HMCLAAA1","E7","OVM021713731",6014,9,76,10,952.1385323
1,"ALBERTO","SANCHEZ","LOZOYA",1,"AOAM732661MPLSAG17","E5","BSH062722UX6",8310,8,60,10,583.9269432
1,"JOSE","ANGELES","TRONCOSO",1,"GALC032620MMCACA16","E11","CAP062661LLA",8310,3,30,10,1552.456218
1,"EDUARDO","GRESS","HERRERA",1,"DOMA030206MDFMAX17","E4","LAV700226JIA",8310,9,47,10,1450.291295
1,"ALEJANDRA","OROPEZA","RODRIGUEZ",2,"VRCL721016MDFLAL10","E4","AMR082702I89",8310,6,32,10,1153.746729
1,"MAURICIO","PERALTA","GARCIA",1,"AAAC702600MUSMVA06","E8","GUMJ662306306",8313,8,83,10,988.1445313
1,"SAMUEL","SANGEADO","CASTILLO",1,"GUCA722721MMCUMN16","E5","CTL070226371",6414,4,80,10,1261.83511
1,"MARCELA","RODRIGUEZ","ACEVEDO",1,"LODA720229HDFPUN22","E7","IMS320260I36",7610,9,30,10,423.2900678
1,"LILIANA","CARDENAS","GUTIERREZ",1,"GICM032016HGALLN18","E5","SDN062016KA3",2910,6,90,10,1823.225913
1,"SERGIO","RIVERA","CECILIO",1,"TACA732703MDFPAL16","E10","LNA221017U2A",8310,3,83,10,394.9225699
1,"ALBERTO","MARTINEZ","LEGORRETA",1,"LADC762717HVUAMA10","E7","UCA072007AC8",9214,6,70,10,1822.65777
1,"IBETH","TELLO","MONDRAGON",1,"VACA772027HPLLSC12","E11","SPA0202067K2",8917,8,63,10,1136.395282
1,"ENRIQUE","MONTES","LUNA",1,"GASL760002MDFALA26","E10","COL7326106B3",8310,4,80,10,2025.278146
1,"JUANA","LUCART","GARCIA",2,"GAGJ702616HMNAAS10","E5","SRS060221M22",4801,8,83,10,425.8701291
1,"FELICIANO","CRESPO","ARGUELLES",2,"TICM702600HDFNHN19","E10","FMA002216A0A",8310,7,32,10,486.0844784
1,"BONIFACIO","CASTELLANOS","MARTINEZ",2,"SAAN700206MDFNAT21","E3","ACR002717H86",8310,6,62,10,1390.710135
1,"GUADALUPE","LA","ESTRADA",1,"AIGM762016MDFVAA16","E10","OSI211606277",3012,9,83,10,1377.40736
1,"MARTHA","SANCHEZ","REYNA",1,"GUAA702601MSPUGB10","E8","CRVD082326SN0",7012,7,42,10,1024.229822
1,"DAN","MARTINEZ","JIMENEZ",2,"AAGJ792202HDFLAS16","E5","BNM032606VB0",8310,6,76,10,1011.352842
1,"MARCELA","BERNAL","GARCIA",1,"ORAA732727HJCLMB19","E5","SDP000020AG8",3010,4,89,10,1378.805431
1,"BENJAMIN","GOMEZ","SARATE",2,"GOAP072626HMCNMD12","E5","MPA072620TT3",8011,8,62,10,139.0596765
1,"LORENA","PORTILLO","MIRANDA",1,"GOOL211306HMCNASA7","E7","IAO261606JI1",9212,8,66,10,832.1312875
1,"CARLOS","ALCIVAR","RIOS",1,"MACJ762040HQASHS12","E6","SRA022700AY6",6014,6,30,10,1520.309411
1,"JESSICA","ESPEJO","CHIRINO",1,"PRAL721613HMNAYS17","E6","BPL022617NU7",9314,8,93,10,1895.791088
1,"MARTIN","LOPEZ","RODRIGUEZ",2,"SOAR762441HDFLLL13","E5","PJC0700277UA",8310,4,21,10,1851.358353
1,"YURICO","LICEA","GONZALEZ",1,"PAAS082310MMCDAN11","E4","IAN020260UU1",4712,8,28,10,1972.82547
1,"MARIA","GARCIA","DIMAS",1,"RAFJ732606HOCSLA19","E6","PRCA602828370",3012,6,80,10,531.399335
1,"BENJAMIN","LOPEZ","SALGADO",1,"NACY702606MPLVAL17","E9","TRL220013GT6",8903,4,69,10,2011.778412
1,"EDGAR","GUTIERREZ","NERIA",1,"RUAV700200HNLSMC29","E8","TAA772629631",6913,3,63,10,1945.109716
1,"MARIANA","GUERRA","GUTIERREZ",2,"TONI702626HDFAAS12","E6","APA200210SC6",6219,8,30,10,780.6891179
1,"FARADAY","SANCHEZ","DELGADO",1,"MRNJ072321MHGNAL16","E3","BMI7723006PA",6219,8,80,10,740.6585329
1,"ALBERTO","IGA","GABRIEL",1,"SAFH721006HBCLLC12","E6","MPA072620TT3",6914,8,30,10,1419.498269
1,"DIANA","MARTINEZ","CORTES",1,"JAIV672723HDFCBC19","E8","PBS072226749",6014,4,83,10,1448.926232
1,"LUISA","GUTIERREZ","HERNANDEZ",2,"AOPM060227HDFJAG18","E3","SHU762016QGA",9010,6,83,10,854.1739673
1,"ITZAYANA","LEZAMA","DELGADO",1,"VICA760207MJCLAS20","E5","CSP032320GS0",8310,8,86,10,1781.325256
1,"ISAIAS","AMEZCUA","PALOMARES",1,"BAAO032617HHGLDC13","E4","TPR7602060K6",8310,8,67,10,1987.185224
1,"JORGE","MARTINEZ","ARANDA",1,"GUBA760023HPLTLB16","E3","CTL030207226",8916,4,32,10,1087.635021
1,"ALEXANDRO","CARBAJAL","NORIEGA",2,"SRRM762317HMCGSA16","E5","ALS002603TG8",2312,6,80,10,174.1865739
1,"BENIGNO","VALLEJO","PRADO",1,"CAMM062626HDFPAA12","E8","SMA022328MG7",9010,4,92,10,1556.73046
1,"CLAUDIA","VAZQUEZ","MARTINEZ",1,"VIAM082606HDFLLA11","E5","AHO000217MU6",6613,8,93,10,1428.51044
1,"CHARLES","BARRERA","MANDUJANO",1,"HRMB762304MDFANT12","E9","IMS320260I36",9212,8,67,10,1165.934262
1,"RODRIGO","ABURTO","CORTEZ",1,"SAXA760026MCHNXC26","E6","BLO030200A07",6701,8,32,10,1385.880554
1,"ARMANDO","GOMEZ","GONZALEZ",2,"AAOS700200HDFBAL22","E7","CRVG621719RY0",8611,8,87,10,989.557768
1,"PALOMA","HERNANDEZ","HERNANDEZ",1,"LOCR072614HDFPAD13","E3","CSA2602170L3",2118,8,60,10,689.7226276
1,"YOLANDA","RUIZ","FRANCO",1,"HRVL772761MDFASA13","E6","IMS320260I36",2812,8,23,10,377.2812322
1,"AMELIA","SIRNES","SANCHEZ",2,"AOSJ732626HMCMTA10","E9","DRI7023266U6",8310,8,60,10,549.4286293
1,"ADRIANA","VILLAREAL","RIVERA",1,"BRBF062310HDFNLA16","E6","CRO770200T32",8710,8,60,10,1102.604748
1,"BRIAN","MORALES","ROLDAN",2,"PAMD762713HMSLAG12","E3","CVR072023SU3",8903,8,30,10,413.0168896
1,"JOSEFINA","PONCE","GARMENDIA",2,"MRSG060226HDFNTN21","E8","MAN7026007G6",8310,7,29,10,1662.343681
1,"PAMELA","HERNANDEZ","DIAZ",1,"TOLG700226HJCANA17","E3","BFC032002UM3",8310,9,83,10,293.453501
1,"GUADALUPE","MENDEZ","ORTEGA",2,"MIVJ030262HDFALN14","E3","SAC021716NW7",8917,9,30,10,656.6152542
1,"ANGELICA","HERNANDEZ","DAVALOS",1,"JAHI722602HDFCAS17","E7","ACU0702064B2",9314,9,76,10,1950.335059
1,"OSEAS","PEREZ","HERNANDEZ",2,"UACJ702828HDFAAM11","E4","GRX201600F67",7012,6,67,10,262.5000999
1,"MARTIN","CERVANTES","AYALA",2,"AILR722622HMCNAN17","E7","IMS320260I36",9310,4,63,10,548.8648945
1,"ADRIANA","MAYORAL","CARRANZA",1,"ARSC721326MDFLLA12","E6","HAP260107TC0",6700,6,83,10,1963.340165
1,"ANGELICA","VALENCIA","GARCIA",1,"AOPK702716MDFSAA13","E5","CAR0602234M6",6310,3,83,10,428.0772943
1,"MARCELA","ROCHA","DELGADO",1,"LXCA762022HDFPDL17","E3","MSB062722VD6",8310,3,83,10,1370.503531
1,"ARTURO","CORTES","MARES",2,"LAGJ762726HJCAAS00","E12","OIM7202200C3",6216,6,80,10,1954.705211
1,"MARGARITA","HERNANDEZ","GUZMAN",1,"HRDA082306HDFAUD13","E6","BBS210126HP2",2118,8,83,10,770.5444606
1,"GREGORIO","JUNG","HERNANDEZ",2,"VRFD700026MDFLAN19","E3","SRM060226AB7",6219,4,60,10,1214.838829
